Date : 2022-08-20 10:49:39
Directory : d:\Proyecto\citasnuevo
Total : 114 files,  9818 codes, 369 comments, 1407 blanks, all 11594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\data\repositoryImpl\userSettingsRepoImpl.dart                                                      |          1 |         57 |          0 |         10 |         67 |
| lib\domain                                                                                             |         32 |      1,236 |         63 |        261 |      1,560 |
| lib\domain\controller                                                                                  |         12 |        862 |         58 |        158 |      1,078 |
| lib\domain\controller_bridges                                                                          |          4 |         86 |          0 |         28 |        114 |
| lib\domain\entities                                                                                    |          8 |        223 |         10 |         40 |        273 |
| lib\domain\repository                                                                                  |          8 |         65 |         -5 |         35 |         95 |
| lib\domain\repository\appSettingsRepo                                                                  |          2 |         27 |          0 |         14 |         41 |
| lib\domain\repository\homeScreenRepo                                                                   |          1 |          4 |          0 |          2 |          6 |
| lib\domain\repository\reactionRepository                                                               |          1 |         -1 |         -5 |          1 |         -5 |
| lib\domain\repository\rewardRepository                                                                 |          1 |         13 |          0 |          6 |         19 |
| lib\domain\repository\sanctionsRepo                                                                    |          1 |         11 |          0 |          5 |         16 |
| lib\domain\repository\settingsRepository                                                               |          1 |          1 |          0 |          1 |          2 |
| lib\domain\repository\userCreatorRepo                                                                  |          1 |         10 |          0 |          6 |         16 |
| lib\presentation                                                                                       |         29 |      5,279 |         48 |        360 |      5,687 |
| lib\presentation\appSettingsPresentation                                                               |          2 |        446 |          3 |         31 |        480 |
| lib\presentation\authScreenPresentation                                                                |          2 |         57 |         -1 |          5 |         61 |
| lib\presentation\authScreenPresentation\Screens                                                        |          1 |         33 |          0 |          3 |         36 |
| lib\presentation\chatPresentation                                                                      |          4 |         76 |          1 |          2 |         79 |
| lib\presentation\chatPresentation\Widgets                                                              |          3 |          3 |          0 |         -2 |          1 |
| lib\presentation\homeReportScreenPresentation                                                          |          2 |         30 |          0 |          1 |         31 |
| lib\presentation\homeScreenPresentation                                                                |          6 |        499 |         33 |         40 |        572 |
| lib\presentation\homeScreenPresentation\Screens                                                        |          1 |        230 |         -1 |         17 |        246 |
| lib\presentation\homeScreenPresentation\Widgets                                                        |          4 |        160 |          0 |          5 |        165 |
| lib\presentation\reactionPresentation                                                                  |          3 |        358 |          0 |         17 |        375 |
| lib\presentation\reactionPresentation\Screens                                                          |          1 |       -215 |          0 |        -17 |       -232 |
| lib\presentation\reactionPresentation\Widgets                                                          |          1 |        349 |          0 |         19 |        368 |
| lib\presentation\rewardScreenPresentation                                                              |          2 |        957 |          0 |         56 |      1,013 |
| lib\presentation\sanctionsPresentation                                                                 |          2 |        295 |          4 |         25 |        324 |
| lib\presentation\settingsPresentation                                                                  |          2 |        470 |          0 |         16 |        486 |
| lib\presentation\userCreatorPresentation                                                               |          2 |      1,364 |          4 |         94 |      1,462 |
| lib\presentation\userSettingsPresentation                                                              |          2 |        727 |          4 |         73 |        804 |
| lib\reordableLists                                                                                     |          8 |        680 |        121 |        179 |        980 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\darValoraciones\darValoraciones.ts          | TypeScript |          2 |          0 |          4 |          6 |
| d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\solicitarUsuarios\solicitarUsuarios.ts      | TypeScript |        191 |         29 |        164 |        384 |
| d:\Proyecto\citasnuevo\FuncionesNubeFirebase\functions\src\test\index.test.ts                          | TypeScript |          0 |          9 |          1 |         10 |
| d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart                                                  | Dart       |         64 |          0 |          5 |         69 |
| d:\Proyecto\citasnuevo\lib\core\common\commonUtils\DateNTP.dart                                        | Dart       |          7 |          0 |          3 |         10 |
| d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart                            | Dart       |         16 |          0 |          2 |         18 |
| d:\Proyecto\citasnuevo\lib\core\common\profileCharacteristics.dart                                     | Dart       |         28 |          0 |          8 |         36 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart                                    | Dart       |        147 |         35 |         20 |        202 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart                                     | Dart       |         59 |          1 |          8 |         68 |
| d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart                                        | Dart       |         24 |          0 |          5 |         29 |
| d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_auth.dart                                   | Dart       |         21 |          0 |         10 |         31 |
| d:\Proyecto\citasnuevo\lib\core\globalData.dart                                                        | Dart       |          2 |          0 |          1 |          3 |
| d:\Proyecto\citasnuevo\lib\core\iapPurchases\iapPurchases.dart                                         | Dart       |         59 |          1 |          7 |         67 |
| d:\Proyecto\citasnuevo\lib\core\location_services\locatio_service.dart                                 | Dart       |         38 |         12 |         14 |         64 |
| d:\Proyecto\citasnuevo\lib\core\notifications\notifications_service.dart                               | Dart       |        193 |          6 |         35 |        234 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart                                             | Dart       |         67 |          0 |          9 |         76 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart                                          | Dart       |          1 |          0 |          0 |          1 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\ProfilesMapper.dart                                            | Dart       |          9 |          0 |          0 |          9 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\RewardMapper.dart                                              | Dart       |         14 |          0 |          4 |         18 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\SettingsMapper.dart                                            | Dart       |         61 |          0 |          8 |         69 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\UserCreatorMapper.dart                                         | Dart       |        165 |          0 |         61 |        226 |
| d:\Proyecto\citasnuevo\lib\data\Mappers\UserSettingsMapper.dart                                        | Dart       |        195 |          0 |         28 |        223 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\HomeDataSource\homeScreenDataSources.dart                  | Dart       |         60 |          2 |          2 |         64 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\appSettings\ApplicationSettingsDataSource.dart             | Dart       |        125 |          0 |         18 |        143 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\authDataSources\authDataSourceImpl.dart                    | Dart       |        -18 |          0 |          6 |        -12 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\chatDataSource\chatDataSource.dart                         | Dart       |         15 |          0 |          5 |         20 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\principalDataSource\principalDataSource.dart               | Dart       |         19 |          0 |          3 |         22 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\reactionDataSources\reactionDataSource.dart                | Dart       |          9 |          0 |         -2 |          7 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\rewardsDataSource\rewardDataSource.dart                    | Dart       |         72 |         -4 |          1 |         69 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\sanctionsDataSource.dart\sanctionsDataSource.dart          | Dart       |         76 |          1 |         17 |         94 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\settingsDataSource\settingsDataSource.dart                 | Dart       |         44 |          0 |         -1 |         43 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\userCreatorDataSource\userCreator.DataSource.dart          | Dart       |        151 |          5 |         30 |        186 |
| d:\Proyecto\citasnuevo\lib\data\dataSources\userSettingsDataSource\userSettingsDataSource.dart         | Dart       |        202 |          3 |         39 |        244 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\appSettingsRepoImpl\appSettingsRepo.dart                | Dart       |         67 |          2 |         12 |         81 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\authRepoImpl\authRepoImpl.dart                          | Dart       |         -6 |          0 |          2 |         -4 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart         | Dart       |         34 |          1 |          2 |         37 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart                  | Dart       |        -13 |          0 |          1 |        -12 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\rewardRepoImpl\rewardRepoImpl.dart                      | Dart       |         64 |          0 |         10 |         74 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\sanctionsRepoImpl\sanctionsRepoImpl.dart                | Dart       |         41 |          1 |          9 |         51 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\settingsRepoImpl\settingsRepoImpl.dart                  | Dart       |          4 |          0 |          1 |          5 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\userCreatorRepoImpl\userCreatorRepoImpl.dart            | Dart       |         49 |          0 |         11 |         60 |
| d:\Proyecto\citasnuevo\lib\data\repositoryImpl\userSettingsRepoImpl.dart\userSettingsRepoImpl.dart     | Dart       |         57 |          0 |         10 |         67 |
| d:\Proyecto\citasnuevo\lib\domain\controller\SettingsController.dart                                   | Dart       |         74 |          0 |         10 |         84 |
| d:\Proyecto\citasnuevo\lib\domain\controller\appSettingsController.dart                                | Dart       |         86 |          2 |         14 |        102 |
| d:\Proyecto\citasnuevo\lib\domain\controller\authScreenController.dart                                 | Dart       |         -3 |          0 |          2 |         -1 |
| d:\Proyecto\citasnuevo\lib\domain\controller\chatController.dart                                       | Dart       |         94 |          7 |         11 |        112 |
| d:\Proyecto\citasnuevo\lib\domain\controller\controllerDef.dart                                        | Dart       |         87 |         37 |         17 |        141 |
| d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart                                 | Dart       |         71 |          3 |         10 |         84 |
| d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart                                  | Dart       |         84 |          8 |         12 |        104 |
| d:\Proyecto\citasnuevo\lib\domain\controller\reportController.dart                                     | Dart       |         -1 |          0 |          0 |         -1 |
| d:\Proyecto\citasnuevo\lib\domain\controller\rewardController.dart                                     | Dart       |        154 |          0 |         34 |        188 |
| d:\Proyecto\citasnuevo\lib\domain\controller\sanctionsController.dart                                  | Dart       |         61 |          1 |         12 |         74 |
| d:\Proyecto\citasnuevo\lib\domain\controller\userCreatorController.dart                                | Dart       |         75 |          0 |         16 |         91 |
| d:\Proyecto\citasnuevo\lib\domain\controller\userSettingsController.dart                               | Dart       |         80 |          0 |         20 |        100 |
| d:\Proyecto\citasnuevo\lib\domain\controller_bridges\HomeScreenCotrollerBridge.dart                    | Dart       |         23 |          0 |         10 |         33 |
| d:\Proyecto\citasnuevo\lib\domain\controller_bridges\RewardScreenControllerBridge.dart                 | Dart       |         23 |          0 |          6 |         29 |
| d:\Proyecto\citasnuevo\lib\domain\controller_bridges\SettingsToAppSettingsControllerBridge.dart        | Dart       |         21 |          0 |          6 |         27 |
| d:\Proyecto\citasnuevo\lib\domain\controller_bridges\UserSettingsToSettingsControllerBridge.dart       | Dart       |         19 |          0 |          6 |         25 |
| d:\Proyecto\citasnuevo\lib\domain\entities\ApplicationSettingsEntity.dart                              | Dart       |         20 |          0 |          1 |         21 |
| d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart                                             | Dart       |          1 |          0 |          0 |          1 |
| d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart                                         | Dart       |         14 |          0 |          1 |         15 |
| d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart                                          | Dart       |          3 |         -1 |          0 |          2 |
| d:\Proyecto\citasnuevo\lib\domain\entities\SanctionsEntity.dart                                        | Dart       |         34 |         11 |          9 |         54 |
| d:\Proyecto\citasnuevo\lib\domain\entities\SettingsEntity.dart                                         | Dart       |         26 |          0 |          3 |         29 |
| d:\Proyecto\citasnuevo\lib\domain\entities\UserCreatorEntity.dart                                      | Dart       |         52 |          0 |         11 |         63 |
| d:\Proyecto\citasnuevo\lib\domain\entities\UserSettingsEntity.dart                                     | Dart       |         73 |          0 |         15 |         88 |
| d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\appSettingsRepo.dart                      | Dart       |         14 |          0 |          7 |         21 |
| d:\Proyecto\citasnuevo\lib\domain\repository\appSettingsRepo\userSettingsRepo.dart                     | Dart       |         13 |          0 |          7 |         20 |
| d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart                        | Dart       |          4 |          0 |          2 |          6 |
| d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart                | Dart       |         -1 |         -5 |          1 |         -5 |
| d:\Proyecto\citasnuevo\lib\domain\repository\rewardRepository\rewardRepository.dart                    | Dart       |         13 |          0 |          6 |         19 |
| d:\Proyecto\citasnuevo\lib\domain\repository\sanctionsRepo\sanctionsRepo.dart                          | Dart       |         11 |          0 |          5 |         16 |
| d:\Proyecto\citasnuevo\lib\domain\repository\settingsRepository\SettingsRepository.dart                | Dart       |          1 |          0 |          1 |          2 |
| d:\Proyecto\citasnuevo\lib\domain\repository\userCreatorRepo\userCreatorRepo.dart                      | Dart       |         10 |          0 |          6 |         16 |
| d:\Proyecto\citasnuevo\lib\main.dart                                                                   | Dart       |          3 |          1 |          3 |          7 |
| d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsPresentation.dart           | Dart       |        137 |          2 |         18 |        157 |
| d:\Proyecto\citasnuevo\lib\presentation\appSettingsPresentation\appSettingsScreen.dart                 | Dart       |        309 |          1 |         13 |        323 |
| d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart                 | Dart       |         33 |          0 |          3 |         36 |
| d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart                               | Dart       |         24 |         -1 |          2 |         25 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatMessage.dart                      | Dart       |         -2 |          0 |          0 |         -2 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatProfileDetailScreen.dart          | Dart       |          1 |          0 |          0 |          1 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\Widgets\chatScreen.dart                       | Dart       |          4 |          0 |         -2 |          2 |
| d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart                         | Dart       |         73 |          1 |          4 |         78 |
| d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart                 | Dart       |         28 |          0 |          0 |         28 |
| d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart | Dart       |          2 |          0 |          1 |          3 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart                 | Dart       |        230 |         -1 |         17 |        246 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart              | Dart       |        139 |          0 |          0 |        139 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart         | Dart       |         15 |          0 |          2 |         17 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart             | Dart       |          2 |          0 |          3 |          5 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart              | Dart       |          4 |          0 |          0 |          4 |
| d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart              | Dart       |        109 |         34 |         18 |        161 |
| d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart               | Dart       |       -215 |          0 |        -17 |       -232 |
| d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Widgets\RevealingCard.dart                | Dart       |        349 |          0 |         19 |        368 |
| d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart                 | Dart       |        224 |          0 |         15 |        239 |
| d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreen.dart                     | Dart       |        684 |          0 |         12 |        696 |
| d:\Proyecto\citasnuevo\lib\presentation\rewardScreenPresentation\rewardScreenPresentation.dart         | Dart       |        273 |          0 |         44 |        317 |
| d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsPresentation.dart               | Dart       |         90 |          4 |         20 |        114 |
| d:\Proyecto\citasnuevo\lib\presentation\sanctionsPresentation\sanctionsScreen.dart                     | Dart       |        205 |          0 |          5 |        210 |
| d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\SettingsScreen.dart                       | Dart       |        439 |          0 |          8 |        447 |
| d:\Proyecto\citasnuevo\lib\presentation\settingsPresentation\settingsScreenPresentation.dart           | Dart       |         31 |          0 |          8 |         39 |
| d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorPresentation.dart           | Dart       |        154 |          3 |         34 |        191 |
| d:\Proyecto\citasnuevo\lib\presentation\userCreatorPresentation\userCreatorScreen.dart                 | Dart       |      1,210 |          1 |         60 |      1,271 |
| d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userPresentation.dart                 | Dart       |        122 |          2 |         26 |        150 |
| d:\Proyecto\citasnuevo\lib\presentation\userSettingsPresentation\userSettingsScreen.dart               | Dart       |        605 |          2 |         47 |        654 |
| d:\Proyecto\citasnuevo\lib\reordableList.dart                                                          | Dart       |        188 |         32 |         29 |        249 |
| d:\Proyecto\citasnuevo\lib\reordableLists\drag_info.dart                                               | Dart       |        180 |         13 |         49 |        242 |
| d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_grid_mixin.dart                                  | Dart       |        188 |         36 |         53 |        277 |
| d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_item.dart                                        | Dart       |        139 |         18 |         30 |        187 |
| d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_sliver_grid_view.dart                            | Dart       |         57 |          8 |         13 |         78 |
| d:\Proyecto\citasnuevo\lib\reordableLists\reorderable_wrapper_widget.dart                              | Dart       |         75 |         43 |         26 |        144 |
| d:\Proyecto\citasnuevo\lib\reordableLists\sliver_grid_with_reorderable_pos_delegate.dart               | Dart       |         25 |          2 |          3 |         30 |
| d:\Proyecto\citasnuevo\lib\reordableLists\test_grid.dart                                               | Dart       |         10 |          0 |          2 |         12 |
| d:\Proyecto\citasnuevo\lib\reordableLists\util.dart                                                    | Dart       |          6 |          1 |          3 |         10 |
| d:\Proyecto\citasnuevo\pubspec.yaml                                                                    | YAML       |         17 |          0 |          2 |         19 |
| Total                                                                                                  |            |      9,818 |        369 |      1,407 |     11,594 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
