"filename", "language", "Markdown", "Dart", "YAML", "C++", "XML", "JSON", "Swift", "Groovy", "Properties", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorConversacion.dart", "Dart", 0, 432, 0, 0, 0, 0, 0, 0, 0, 0, 2, 78, 512
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorCreditos.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 107
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorInicioSesion.dart", "Dart", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 219
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLikes.dart", "Dart", 0, 592, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45, 642
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorLocalizacion.dart", "Dart", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63, 286
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorNotificaciones.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 213
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorPermisos.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 206
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ControladorVideollamadas.dart", "Dart", 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 418
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\ManejadorMultimedia.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\PerfilesUsuarios.dart", "Dart", 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 269, 100, 683
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\collection.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 167
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\geoflutterfire.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\models\DistanceDocSnapshot.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\point.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 64
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\QueriesLocalizacion\util.dart", "Dart", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 63, 33, 277
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Usuario.dart", "Dart", 0, 434, 0, 0, 0, 0, 0, 0, 0, 0, 27, 86, 547
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\UtilidadesAplicacion\GeneradorCodigos.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\UtilidadesAplicacion\ObtenerImagenPerfil.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\Valoraciones.dart", "Dart", 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55, 379
"d:\Proyecto\citasnuevo\lib\DatosAplicacion\WrapperLikes.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\Pantalla_Actividades.dart", "Dart", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42, 375
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\TarjetaEvento.dart", "Dart", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 194
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\TarjetaPerfiles.dart", "Dart", 0, 583, 0, 0, 0, 0, 0, 0, 0, 0, 12, 145, 740
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Actividades\pantalla_actividades_elements.dart", "Dart", 0, 744, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40, 787
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\IsolateMensajes.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\Mensajes.dart", "Dart", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 779, 38, 1032
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\PantalaVidellamada.dart", "Dart", 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 16, 41, 400
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\PantallaConversacion.dart", "Dart", 0, 1360, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69, 1433
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\TituloChat.dart", "Dart", 0, 836, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43, 880
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Conversaciones\people_screen.dart", "Dart", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 183
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Directo\live_screen.dart", "Dart", 0, 636, 0, 0, 0, 0, 0, 0, 0, 0, 22, 40, 698
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Directo\live_screen_elements.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 160
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\IniciodeSesion\login_screen.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 135
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\IniciodeSesion\login_screen_elements.dart", "Dart", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 24, 32, 247
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Notificaciones\notificacionLlamada.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_methods.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 38
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen.dart", "Dart", 0, 507, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 538
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\RegistrodeUsuario\sign_up_screen_elements.dart", "Dart", 0, 984, 0, 0, 0, 0, 0, 0, 0, 0, 83, 97, 1164
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\AjustesHotty.dart", "Dart", 0, 583, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 619
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\FiltrosUsuario.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"d:\Proyecto\citasnuevo\lib\InterfazUsuario\Social\social_screen_elements.dart", "Dart", 0, 2983, 0, 0, 0, 0, 0, 0, 0, 0, 11, 231, 3225
"d:\Proyecto\citasnuevo\lib\PrimeraPantalla.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 171
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_manager.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"d:\Proyecto\citasnuevo\lib\ServidorFirebase\firebase_sign_up.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 54
"d:\Proyecto\citasnuevo\lib\base_app.dart", "Dart", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59, 265
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 61
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 44, 23, 142
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 13, 15297, 75, 1, 125, 663, 12, 107, 13, 4, 1529, 1880, 19719
