"filename", "language", "YAML", "Dart", "Markdown", "JSON", "C++", "Swift", "XML", "Groovy", "Properties", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Proyecto\citasnuevo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Proyecto\citasnuevo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Proyecto\citasnuevo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\lib\core\ads_services\Ads.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 84
"d:\Proyecto\citasnuevo\lib\core\common\commonUtils\idGenerator.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"d:\Proyecto\citasnuevo\lib\core\common\common_widgets.dart\errorWidget.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"d:\Proyecto\citasnuevo\lib\core\common\profileCharacteristics.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 84
"d:\Proyecto\citasnuevo\lib\core\dependencies\dependencyCreator.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 108
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Exceptions.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"d:\Proyecto\citasnuevo\lib\core\dependencies\error\Failure.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 67
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_app.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Proyecto\citasnuevo\lib\core\firebase_services\firebase_auth.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 95
"d:\Proyecto\citasnuevo\lib\core\globalData.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Proyecto\citasnuevo\lib\core\params_types\params_and_types.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 40
"d:\Proyecto\citasnuevo\lib\core\platform\networkInfo.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"d:\Proyecto\citasnuevo\lib\core\usecases\usecases.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Proyecto\citasnuevo\lib\data\Mappers\ChatConverter.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"d:\Proyecto\citasnuevo\lib\data\Mappers\ConverterDefinition.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto\citasnuevo\lib\data\Mappers\MessajeConverter.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\Proyecto\citasnuevo\lib\data\Mappers\ProfilesMapper.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"d:\Proyecto\citasnuevo\lib\data\Mappers\ReactionsMappers.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\Proyecto\citasnuevo\lib\data\daraSources\HomeDataSource\homeScreenDataSources.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 193
"d:\Proyecto\citasnuevo\lib\data\daraSources\authDataSources\authDataSourceImpl.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"d:\Proyecto\citasnuevo\lib\data\daraSources\chatDataSource\chatDataSource.dart", "Dart", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 282
"d:\Proyecto\citasnuevo\lib\data\daraSources\principalDataSource\principalDataSource.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 58
"d:\Proyecto\citasnuevo\lib\data\daraSources\reactionDataSources\reactionDataSource.dart", "Dart", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 214
"d:\Proyecto\citasnuevo\lib\data\daraSources\reportDataSource\reportDataSource.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 70
"d:\Proyecto\citasnuevo\lib\data\daraSources\rewardsDataSource\rewardDataSource.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 86
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\authRepoImpl\authRepoImpl.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\chatRepoImpl\chatRepoImpl.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 94
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\homeScreenRepoImpl.dart\homeScreenRepoImpl.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reactionRepoImpl\reactionRepoImpl.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 94
"d:\Proyecto\citasnuevo\lib\data\repositoryImpl\reportRepoImpl\reportRepoImpl.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\Proyecto\citasnuevo\lib\domain\controller\authScreenController.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Proyecto\citasnuevo\lib\domain\controller\chatController.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 164
"d:\Proyecto\citasnuevo\lib\domain\controller\homeScreenController.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Proyecto\citasnuevo\lib\domain\controller\reactionsController.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 149
"d:\Proyecto\citasnuevo\lib\domain\controller\reportController.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Proyecto\citasnuevo\lib\domain\entities\AuthScreenEntity.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Proyecto\citasnuevo\lib\domain\entities\ChatEntity.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"d:\Proyecto\citasnuevo\lib\domain\entities\MessageEntity.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileCharacteristicsEntity.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Proyecto\citasnuevo\lib\domain\entities\ProfileEntity.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Proyecto\citasnuevo\lib\domain\entities\ReactionEntity.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 152
"d:\Proyecto\citasnuevo\lib\domain\entities\RewardsEntity.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 34
"d:\Proyecto\citasnuevo\lib\domain\repository\authRepo\authRepo.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Proyecto\citasnuevo\lib\domain\repository\chatRepo\chatRepo.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Proyecto\citasnuevo\lib\domain\repository\homeScreenRepo\homeScreenRepo.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Proyecto\citasnuevo\lib\domain\repository\reactionRepository\reactionRepository.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 32
"d:\Proyecto\citasnuevo\lib\domain\repository\reportRepo\reportRepo.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Proyecto\citasnuevo\lib\main.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 91
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\Screens\authScreen.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"d:\Proyecto\citasnuevo\lib\presentation\authScreenPresentation\auth.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 86
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatPresentation.dart", "Dart", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 154
"d:\Proyecto\citasnuevo\lib\presentation\chatPresentation\chatScreen.dart", "Dart", 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40, 581
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\ReportScreen.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 137
"d:\Proyecto\citasnuevo\lib\presentation\homeReportScreenPresentation\homeReportScreenPresentation.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 89
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Screens\HomeScreen.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 98
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\NavigationBar.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileCharacteristicsWidget.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 79
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfileDescription.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\ProfilePicture.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\Widgets\profileWidget.dart", "Dart", 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 248
"d:\Proyecto\citasnuevo\lib\presentation\homeScreenPresentation\homeScrenPresentation.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 123
"d:\Proyecto\citasnuevo\lib\presentation\presentationDef.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 13
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\Screens\ReactionScreen.dart", "Dart", 0, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 441
"d:\Proyecto\citasnuevo\lib\presentation\reactionPresentation\reactionPresentation.dart", "Dart", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 191
"d:\Proyecto\citasnuevo\lib\presentation\routes.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Proyecto\citasnuevo\pubspec.yaml", "YAML", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 156
"d:\Proyecto\citasnuevo\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 73, 4840, 13, 4782, 1, 12, 91, 13, 4, 4, 189, 784, 10806
